sku,name,description,category,brand,unit_cost,unit_price,weight,dimensions
PROD001,Смартфон Galaxy S21,Современный смартфон с отличной камерой,Электроника,Samsung,45000.0,55000.0,0.17,15.6x7.2x0.8 см
PROD002,Ноутбук MacBook Pro,Мощный ноутбук для профессионалов,Электроника,Apple,120000.0,150000.0,1.4,30.4x21.2x1.6 см
PROD003,Наушники AirPods Pro,Беспроводные наушники с шумоподавлением,Электроника,Apple,15000.0,20000.0,0.05,3.0x1.8x2.4 см
PROD004,Футболка хлопковая,Комфортная футболка из 100% хлопка,Одежда,Generic,800.0,1500.0,0.2,Размер M
PROD005,Джинсы классические,Классические джинсы прямого кроя,Одежда,Generic,1200.0,2500.0,0.4,Размер 32/32
PROD006,Книга "Искусство программирования",Фундаментальный труд по программированию,Книги,Addison-Wesley,2500.0,3500.0,0.8,21.6x27.9x3.8 см
PROD007,Планшет iPad Air,Легкий и мощный планшет,Электроника,Apple,35000.0,45000.0,0.46,24.8x17.8x0.6 см
PROD008,Кроссовки спортивные,Удобные кроссовки для спорта,Одежда,Nike,2500.0,4500.0,0.3,Размер 42
PROD009,Монитор 27" 4K,Монитор с высоким разрешением,Электроника,LG,25000.0,35000.0,4.2,61.0x36.5x18.0 см
PROD010,Клавиатура механическая,Профессиональная механическая клавиатура,Электроника,Logitech,8000.0,12000.0,0.9,44.0x13.0x3.0 см
